started_at,finished_at,experiment_created_at,experiment_started_at,experiment_finished_at,fault_name,fault_started_at,fault_finished_at,fault_kwargs,experiment_status,experiment_verdict
2024-02-11 11:50:18,2024-02-11 12:06:08,2024-02-11 11:47:06,2024-02-11 11:47:06,2024-02-11 12:05:16,pod-autoscaler,2024-02-11 11:47:51,2024-02-11 12:04:56,"{'appNamespace': 'onlineboutique', 'appLabel': 'adservice', 'appKind': 'deployment', 'appReplicaCount': 3, 'experimentDuration': 938}",Completed,Pass
2024-02-11 12:46:03,2024-02-11 12:51:57,2024-02-11 12:44:02,2024-02-11 12:44:02,2024-02-11 12:48:37,pod-cpu-hog,2024-02-11 12:44:12,2024-02-11 12:48:17,"{'appNamespace': 'onlineboutique', 'appLabel': 'checkoutservice', 'appKind': 'deployment', 'appContainer': 'server', 'experimentDuration': 180, 'experimentRampTime': 25}",Completed,Pass
2024-02-11 14:11:14,2024-02-11 14:18:14,2024-02-11 14:08:58,2024-02-11 14:08:58,2024-02-11 14:16:10,node-memory-hog,2024-02-11 14:09:44,2024-02-11 14:15:50,"{'appNamespace': 'onlineboutique', 'appNode': 'node4.deucalionx.ilabt-imec-be.wall2.ilabt.iminds.be', 'experimentDuration': 288, 'experimentRampTime': 15}",Completed,Pass
2024-02-11 17:02:02,2024-02-11 17:27:14,2024-02-11 16:58:39,2024-02-11 16:58:39,2024-02-11 17:24:51,pod-autoscaler,2024-02-11 16:59:25,2024-02-11 17:24:31,"{'appNamespace': 'onlineboutique', 'appLabel': 'checkoutservice', 'appKind': 'deployment', 'appReplicaCount': 3, 'experimentDuration': 1456}",Completed,Pass
2024-02-11 18:16:02,2024-02-11 18:21:38,2024-02-11 18:14:29,2024-02-11 18:14:29,2024-02-11 18:17:39,pod-delete,2024-02-11 18:15:14,2024-02-11 18:17:19,"{'appNamespace': 'onlineboutique', 'appLabel': 'adservice', 'appKind': 'deployment'}",Completed,Pass
2024-02-11 19:36:22,2024-02-11 19:41:30,2024-02-11 20:00:03,2024-02-11 20:00:03,2024-02-11 20:07:14,pod-network-latency,2024-02-11 20:00:49,2024-02-11 20:06:54,"{'appNamespace': 'onlineboutique', 'appLabel': 'checkoutservice', 'appKind': 'deployment', 'appContainer': 'server', 'appNetworkLatency': 802, 'appJitter': 2, 'experimentDuration': 225, 'experimentRampTime': 20}",Completed,Pass
2024-02-11 22:38:42,2024-02-11 22:55:02,2024-02-11 22:35:14,2024-02-11 22:35:14,2024-02-11 22:53:27,pod-autoscaler,2024-02-11 22:36:00,2024-02-11 22:53:07,"{'appNamespace': 'onlineboutique', 'appLabel': 'adservice', 'appKind': 'deployment', 'appReplicaCount': 3, 'experimentDuration': 954}",Completed,Pass
2024-02-12 00:44:56,2024-02-12 00:49:08,2024-02-12 00:42:28,2024-02-12 00:42:28,2024-02-12 00:46:38,node-cpu-hog,2024-02-12 00:43:14,2024-02-12 00:46:18,"{'appNamespace': 'onlineboutique', 'appNode': 'node1.deucalionx.ilabt-imec-be.wall2.ilabt.iminds.be', 'experimentDuration': 91, 'experimentRampTime': 12}",Completed,Pass
2024-02-12 02:59:18,2024-02-12 03:06:06,2024-02-12 02:58:01,2024-02-12 02:58:02,2024-02-12 03:02:37,pod-cpu-hog,2024-02-12 02:58:12,2024-02-12 03:02:17,"{'appNamespace': 'onlineboutique', 'appLabel': 'recommendationservice', 'appKind': 'deployment', 'appContainer': 'server', 'experimentDuration': 153, 'experimentRampTime': 8}",Completed,Pass
2024-02-12 04:58:18,2024-02-12 05:04:18,2024-02-12 04:58:18,2024-02-12 04:58:19,2024-02-12 05:00:31,node-drain,2024-02-12 04:59:04,2024-02-12 05:00:31,"{'appNamespace': 'onlineboutique', 'appNode': 'node4.deucalionx.ilabt-imec-be.wall2.ilabt.iminds.be', 'appLabel': 'chaos=target', 'experimentDuration': 246, 'experimentRampTime': 27}",initialized,
